datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,plantSoil,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),Stem diameter,communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Mycorrhizal infection (%),Germination%,NumberofGerminatedSeedlings,Column4,Column5
1,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Sissoo of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,1.63,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
2,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath C. Siamea of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,con,180 days,,,1.19,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
3,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,2.23,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,
4,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath A. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,
5,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath E. Hybrid of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,1,hetero,180 days,,,0.34,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
6,https://www.jstor.org/stable/24111673,no,greenhouse,Uninoculated control,,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Cassia siamea,,,1,0,,180 days,,,0.59,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Sissoo of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.53,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,,,,
8,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath C. Siamea of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.36,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,
9,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath D. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,con,180 days,,,2.71,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,
10,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath A. Indica of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,2.86,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6,,,,
11,https://www.jstor.org/stable/24111673,soil,greenhouse,Inoculum 1: Soil from underneath E. Hybrid of site revegetated 5 years ago,40g of soil inoculum 6 cm below surface in each pot,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,1,hetero,180 days,,,1.42,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,,,,
12,https://www.jstor.org/stable/24111673,no,greenhouse,Uninoculated control,,"E82°36'40''-82°41'15'',N24°6'46''-24°11'5''",1,coal mine,other,tropical,AM,paper,mixture of unsterilized coal mine spoil and autoclaved sandy-loam soil (2:1 v/v),restoration,"pH, OC, EC, P, K",coal mine,Derris indica,,,2,0,,180 days,,,1.38,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.1890/15-0599.1,soil,mesocosm,Inoculum 1: Soil from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,1,1,con,15 weeks,,,32.18,7.07,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,11,1,hetero,15 weeks,,,25.83,5.43,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,1,0,,15 weeks,,,31.62,7.99,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Monoculture of each: Festuca pratensis, Poa pratensis, Onobrychis viciifolia, Trifolium repens, Crepis biennis, Galium mollugo, Plantago lanceolata, Prunella vulgaris",,,11,0,,15 weeks,,,31.46,5.73,,,,SEM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10.1890/15-0599.1,soil,mesocosm,Inoculum 1: Soil from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Mixture (16 combinations) of the above monoculture plants with one small herb, tall herb, grass and legume each, see supplementary material",,,2,1,con,15 weeks,,,48.31,3.89,,,,SEM,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Mixture (16 combinations) of the above monoculture plants with one small herb, tall herb, grass and legume each, see supplementary material",,,22,1,hetero,15 weeks,,,44.78,3.17,,,,SEM,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Mixture (16 combinations) of the above monoculture plants with one small herb, tall herb, grass and legume each, see supplementary material",,,2,0,,15 weeks,,,42.55,3.8,,,,SEM,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,"Mixture (16 combinations) of the above monoculture plants with one small herb, tall herb, grass and legume each, see supplementary material",,,22,0,,15 weeks,,,45.82,3.47,,,,SEM,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10.1890/15-0599.1,soil,mesocosm,Inoculum 3: Soil from monoculture of Festuca pratensis,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Festuca pratensis,,,3,1,con,15 weeks,,,44.24,10.14,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Festuca pratensis,,,33,1,hetero,15 weeks,,,27.28,11.88,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Festuca pratensis,,,3,0,,15 weeks,,,29.54,3.12,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Festuca pratensis,,,33,0,,15 weeks,,,36.16,4.66,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10.1890/15-0599.1,soil,mesocosm,Inoculum 4: Soil from monoculture of Poa pratensis,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Poa pratensis,,,4,1,con,15 weeks,,,2.25,1.85,,,,SEM,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Poa pratensis,,,44,1,hetero,15 weeks,,,16.69,7.04,,,,SEM,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Poa pratensis,,,4,0,,15 weeks,,,1.06,1.94,,,,SEM,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Poa pratensis,,,44,0,,15 weeks,,,23.18,7.38,,,,SEM,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10.1890/15-0599.1,soil,mesocosm,Inoculum 5: Soil from monoculture of Crepis biennis,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Crepis biennis,,,5,1,con,15 weeks,,,4.11,2.64,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Crepis biennis,,,55,1,hetero,15 weeks,,,4.11,2.42,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Crepis biennis,,,5,0,,15 weeks,,,10.2,5.81,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Crepis biennis,,,55,0,,15 weeks,,,15.5,2.5,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10.1890/15-0599.1,soil,mesocosm,Inoculum 6: Soil from monoculture of Galium mollugo,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Galium mollugo,,,6,1,con,15 weeks,,,4.11,1.76,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Galium mollugo,,,66,1,hetero,15 weeks,,,2.65,1.01,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Galium mollugo,,,6,0,,15 weeks,,,6.75,4.62,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Galium mollugo,,,66,0,,15 weeks,,,2.91,0.53,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10.1890/15-0599.1,soil,mesocosm,Inoculum 7: Soil from monoculture of Plantago lanceolata,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Plantago lanceolata,,,7,1,con,15 weeks,,,80,23.66,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Plantago lanceolata,,,77,1,hetero,15 weeks,,,62.12,14.97,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Plantago lanceolata,,,7,0,,15 weeks,,,56.16,14.43,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Plantago lanceolata,,,77,0,,15 weeks,,,71.52,14.61,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10.1890/15-0599.1,soil,mesocosm,Inoculum 8: Soil from monoculture fo Prunella vulgaris,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Prunella vulgaris,,,8,1,con,15 weeks,,,12.32,1.04,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Prunella vulgaris,,,88,1,hetero,15 weeks,,,21.59,2.58,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Prunella vulgaris,,,8,0,,15 weeks,,,10.73,1.97,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Prunella vulgaris,,,88,0,,15 weeks,,,12.05,0.65,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.1890/15-0599.1,soil,mesocosm,Inoculum 9: Soil from monoculture of Onobrychis viciifolia,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Onobrychis viciifolia,,,9,1,con,15 weeks,,,16.16,2.05,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Onobrychis viciifolia,,,99,1,hetero,15 weeks,,,4.11,0.44,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Onobrychis viciifolia,,,9,0,,15 weeks,,,4.37,1.94,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Onobrychis viciifolia,,,99,0,,15 weeks,,,18.81,3.6,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10.1890/15-0599.1,soil,mesocosm,Inoculum 10: Soil from monoculture of Trifolium repens,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Trifolium repens,,,10,1,con,15 weeks,,,64.5,9.06,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10.1890/15-0599.1,soil,mesocosm,"Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Trifolium repens,,,100,1,hetero,15 weeks,,,67.81,6.41,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10.1890/15-0599.1,sterile,mesocosm,Control: Sterilized soil (autoclaved) from Monoculture of plant that was planted in experiment,,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Trifolium repens,,,10,0,,15 weeks,,,104.9,14.31,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10.1890/15-0599.1,sterile,mesocosm,"Control: Sterilized soil (autoclaved) from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs",,"50°55'N, 11°35'E, 130m a.s.l.",1,grassland,grassland,temperate,,,"50% agricultural soil(without legacy of plant species used in experiment), 25% sand, 25% Perlite (Ricoter AG, Aarberg)",,,,Trifolium repens,,,100,0,,15 weeks,,,72.32,16.79,,,,SEM,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,10.1007/BF02803153,soil,field,"Inoculum: Soil from adjacent grass dunes, 1l per m^2",,"64°05'N, 19°41' W, 260m a.s.l.",1,grassland,grassland,subarctic,AM,paper,,restoration,,Basalt/dacit tephra-layers,L. arenarius,,,1,1,,1 growing Season (Ended in September),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,13.08,,,
