datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,plantSoil,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),Stem diameter,communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Mycorrhizal infection (%),Germination%,NumberofGerminatedSeedlings,Column4,Column5
405,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Canarium album,,,41,1,,16 months,1.62,0.18,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Choerospondias axillaris,,,42,1,,16 months,0.69,0,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Cryptocarya concinna,,,43,1,,16 months,1.03,0.22,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Castanopsis fissa,,,44,1,,16 months,1.55,0.27,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Engelhardtia fenzlii,,,45,1,,16 months,0.08,0.01,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Lithocarpus litseifolius,,,46,1,,16 months,0.9,0.18,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Ormosia pachycarpa,,,47,1,,16 months,3.5,0.44,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 1","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Schima superba,,,48,1,,16 months,0.85,0.22,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Canarium album,,,41,0,,16 months,1.5,0.13,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Choerospondias axillaris,,,42,0,,16 months,0.66,0.43,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Cryptocarya concinna,,,43,0,,16 months,0.45,0.05,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Castanopsis fissa,,,44,0,,16 months,1.69,0.38,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Engelhardtia fenzlii,,,45,0,,16 months,0.23,0.05,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Lithocarpus litseifolius,,,46,0,,16 months,0.74,0.09,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Ormosia pachycarpa,,,47,0,,16 months,3.5,0.27,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 1","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Schima superba,,,48,0,,16 months,0.22,0.05,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Canarium album planted with 1 additional species,,,49,1,,16 months,2.14,0.32,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Choerospondias axillaris planted with 1 additional species,,,50,1,,16 months,0.51,0,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Cryptocarya concinna planted with 1 additional species,,,51,1,,16 months,0.8,0.16,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Castanopsis fissa planted with 1 additional species,,,52,1,,16 months,1.15,0.13,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Engelhardtia fenzlii planted with 1 additional species,,,53,1,,16 months,0.12,0.02,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Lithocarpus litseifolius planted with 1 additional species,,,54,1,,16 months,2.14,0.32,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Ormosia pachycarpa planted with 1 additional species,,,55,1,,16 months,3.51,0.41,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,10.1111/1365-2745.12773,soil,mesocosm,"Inoculum: Living soil, no fertilizer, Species richness 2","Inoculum: Living soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Schima superba planted with 1 additional species,,,56,1,,16 months,0.36,0.05,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 2","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Canarium album planted with 1 additional species,,,49,0,,16 months,1.5,0.19,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 2","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Choerospondias axillaris planted with 1 additional species,,,50,0,,16 months,1,0.6,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 2","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Cryptocarya concinna planted with 1 additional species,,,51,0,,16 months,0.8,0.1,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,10.1111/1365-2745.12773,sterile,mesocosm,"Control: sterilized inoculum soil, no fertilizer, Species richness 2","Sterilized soil from beneath Canarium album, Castanopsis fissa, Cryptocarya concinna, Engelhardtia fenzlii, Lithocarpus litseifolius, Ormosia pachycarpa, Schima superba, Choerospondias axillaris, homogenized, ","23°27'N, 111°53'E",1,forest,forest,tropical,both,other,Clay loam soil mixed with sand (1:1 v/v) sterilized by gamma radiation,,"N, P, K, OM (organic matter)",,Castanopsis fissa planted with 1 additional species,,,52,0,,16 months,1.19,0.26,,,,,,SE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
