datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,Column1,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercErrorN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Comments,Column2,Column3,Column4,Column5
441,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,M. arenosa,,,5,0,,16 weeks,1.48,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,M. arenosa,,,5,1,hetero,16 weeks,10.29,0.6,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,M. arenosa,,,5,1,con,16 weeks,12.48,0.5,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,M. arenosa,,,5,1,hetero,16 weeks,10.43,0.7,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. platyloba,,,6,0,,16 weeks,5.38,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. platyloba,,,6,1,hetero,16 weeks,11.95,0.8,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. platyloba,,,6,1,hetero,16 weeks,8.88,1.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. platyloba,,,6,1,hetero,16 weeks,11.51,0.8,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Hintonia latiflora,,,7,0,,16 weeks,3.43,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Hintonia latiflora,,,7,1,hetero,16 weeks,7.45,0.5,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Hintonia latiflora,,,7,1,hetero,16 weeks,5.93,0.5,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Hintonia latiflora,,,7,1,hetero,16 weeks,7.71,0.5,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Ruprechtia fusca,,,8,0,,16 weeks,11.9,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Ruprechtia fusca,,,8,1,hetero,16 weeks,10.51,0.5,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Ruprechtia fusca,,,8,1,hetero,16 weeks,12.84,0.6,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Ruprechtia fusca,,,8,1,hetero,16 weeks,11.77,1,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,10.1016/J.APSOIL.2019.103370,soil,greenhouse,Inoculation with soil with native fungi (under Adenostoma fasciculatum),,"33°28' N, 117°2' W",1,forest,forest,temperate,mixed,paper,,,,,Adenostoma fasciculatum,,,9,1,con,6 months,,,0.155,0.02,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungal type: ecosystem is mixed, specific species can form symbiosis with AM & EM",,,,
458,10.1016/J.APSOIL.2019.103370,soil,greenhouse,Inoculation with soil with invasive fungi (under Bromus diandrus),,"33°28' N, 117°2' W",1,forest,forest,temperate,mixed,paper,,,,,Adenostoma fasciculatum,,,9,1,hetero,6 months,,,0.113,0.13,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,10.1016/J.APSOIL.2019.103370,ster,greenhouse,Control: sterilized soil from both origins,,"33°28' N, 117°2' W",1,forest,forest,temperate,mixed,paper,,,,,Adenostoma fasciculatum,,,9,0,,6 months,,,0.071,0.017,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
