datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,Column1,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercErrorN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Comments,Column2,Column3,Column4,Column5
370,10.1016/j.soilbio.2009.07.026,soil,greenhouse,"Inoculum 2: soil from an old young forest, high intensity management, early successional stage, Picea abies",,"58°58' N, 26°03' E",1,temperate forest,forest,temperate,AM,paper,,,,,Geum rivale,,,4,1,con,20 weeks,,,8.52,0.3,7.16,0.7,,SE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,10.1016/j.soilbio.2009.07.026,soil,greenhouse,Inoculum 3: soil from same type but under intensive agriculture (oil seed rape),,"58°58' N, 26°03' E",1,temperate forest,forest,temperate,AM,paper,,,,,Geum rivale,,,4,1,hetero,20 weeks,,,8.15,0.5,10.15,1.2,,SE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,10.1016/j.soilbio.2009.07.026,ster,greenhouse,Control: sterile soil,,"58°58' N, 26°03' E",1,temperate forest,forest,temperate,AM,paper,,,,,Geum rivale,,,4,0,,20 weeks,,,7.04,0.3,6.25,0.6,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,10.1111/AVSC.12193,infected roots,field,"Inoculation with soil from intact grassland, after topsoil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",All plant species (many were investigated),,,8,1,,1 year,,,,,,,,,,,,,,,,,,16.2,2.1,1.7,0.2,SE,8,,,,,,,,,,,,,"no seedlings, just inoculation",,,,
386,10.1111/AVSC.12193,no,field,"Control: no inoculation, after top soil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",All plant species (many were investigated),,,8,0,,1 year,,,,,,,,,,,,,,,,,,12.5,1.3,1.6,0.1,SE,8,,,,,,,,,,,,,,,,,
387,10.1111/AVSC.12193,infected roots,field,"Inoculation with soil from intact grassland, after topsoil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",AMF dependent species,,,9,1,,1 year,,,,,,,,,,,,,,,,,,8.4,1.3,1.4,0.1,SE,8,,,,,,,,,,,,,,,,,
388,10.1111/AVSC.12193,no,field,"Control: no inoculation, after top soil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",AMF dependent species,,,9,0,,1 year,,,,,,,,,,,,,,,,,,6.8,0.8,1.2,0.1,SE,8,,,,,,,,,,,,,,,,,
389,10.1111/AVSC.12193,infected roots,field,"Inoculation with soil from intact grassland, after topsoil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",specialist plant species,,,11,1,,1 year,,,,,,,,,,,,,,,,,,2.9,0.4,0.7,0.1,SE,8,,,,,,,,,,,,,,,,,
390,10.1111/AVSC.12193,no,field,"Control: no inoculation, after top soil removal",,"50°48'32'' N, 4°40'34'' E",1,grassland,grassland,temperate,AM,both,,restoration,,"cleared forest, former military domain",specialist plant species,,,11,0,,1 year,,,,,,,,,,,,,,,,,,2.8,0.6,0.6,0.1,SE,8,,,,,,,,,,,,,,,,,
391,10.31055/1851.2372.V53.N2.20537,soil,greenhouse,Inoculum from soil (rhizosphere) of a forest with K. lanceolata,,"31.4° S, 64.6° W",1,forest,forest,temperate,AM,both,,,,,Kageneckia lanceolata,,,1,1,con,6 months,,,5.54,0.69,1.14,0.1,,SE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
