"","study_id","SOILTYPE"
"560","10.3732/ajb.1300262",NA
"561","10.1890/13-1821.1","soil inocula"
"562","10.1590/s1517-83822014000400007",NA
"563","10.1038/ismej.2013.224",NA
"564","10.1016/j.jplph.2013.10.011",NA
"565","10.1890/12-1943.1",NA
"566","10.3389/fpls.2013.00338",NA
"567",NA,"contaminated soils"
"568","10.1016/j.chemosphere.2013.07.089","cd-contaminated acidic"
"569","10.1016/j.chemosphere.2013.07.089"," acidic soil"
"570","10.1016/j.chemosphere.2013.07.089"," a cd-contaminated kg(-1"
"571","10.1371/journal.pone.0070633",NA
"572","10.1093/aob/mct177",NA
"573","10.1016/j.jenvrad.2013.07.001","contaminated soils"
"574","10.1016/j.chemosphere.2013.04.093",NA
"575",NA,NA
"576","10.1016/s1001-0742(12)60060-6","polluted soils"
"577","10.1016/s1001-0742(12)60060-6"," metal-polluted"
"578","10.1111/nph.12273",NA
"579","10.1007/s00572-013-0494-y",NA
"580","10.1093/aob/mct062",NA
"581","10.1080/09593330.2012.689369","contaminated soils"
"582","10.1080/09593330.2012.689369"," contaminated soil"
"583","10.1080/15226514.2012.716099",NA
"584","10.1093/aob/mct035",NA
"585","10.1111/pce.12082","k(+ higher"
"586","10.1111/pce.12082"," k(+"
"587","10.1890/11-1715.1",NA
"588","10.1371/journal.pone.0048669","cd-added soils"
"589","10.1007/s00572-012-0460-0",NA
"590","10.1016/j.jhazmat.2012.08.020",NA
"591","10.1016/j.jenvrad.2012.08.004",NA
"592","10.1080/15226514.2011.619230","aluminium stress"
"593","10.1080/15226514.2011.619230"," aluminium stress"
"594","10.1039/c2em30333g","paddy soil"
"595","10.1007/s11274-011-0823-2","pots/organic fields"
"596","10.1016/j.jhazmat.2012.05.091","as-contaminated areas"
"597","10.1016/j.jhazmat.2012.05.091"," as-amended soils"
"598","10.1007/s00572-012-0448-9",NA
"599","10.1016/j.jhazmat.2012.05.044",NA
"600","10.1007/s00572-012-0447-x",NA
"601","10.1007/s00572-012-0446-y",NA
"602","10.1890/11-1247.1",NA
"603","10.1016/j.envpol.2012.04.026",NA
"604","10.1111/j.1438-8677.2012.00581.x","saline-sodic soil"
"605","10.1007/s11270-011-0915-5","contaminated soil"
"606","10.1139/w11-140",NA
"607",NA,NA
"608",NA,"hyphosphere"
"609","10.1016/j.scitotenv.2011.10.053","contaminated sites"
"610","10.1016/j.scitotenv.2011.10.053"," contaminated soil"
"611",NA,NA
"612","10.1080/15226514.2011.568546","micro-algae testing"
"613","10.1080/15226514.2011.568546"," polluted soil industrially"
"614","10.1890/10-1915.1",NA
"615","10.1590/S1517-83822011000300004","contaminated soil"
"616","10.1007/s00572-011-0391-1",NA
"617","10.1186/1471-2229-11-98",NA
"618","10.1080/15226510903535056","tailings application"
"619","10.1080/15226510903353104","contaminated soils"
"620","10.1080/15226511003671353","contaminated soils"
"621","10.1016/j.scitotenv.2011.04.029",NA
"622","10.1016/j.ejsobi.2011.03.001",NA
"623","10.1007/s00572-011-0379-x",NA
"624","10.1007/s00572-011-0370-6",NA
"625","10.1007/s00572-011-0372-4",NA
"626","10.1016/j.jenvman.2011.02.015","contaminated sand"
"627","10.1016/j.jplph.2010.12.019",NA
"628","10.1007/s12011-011-8973-5",NA
"629","10.1007/s00122-010-1501-8",NA
"630","10.1007/s00572-010-0360-0",NA
"631","10.1139/w10-096",NA
"632","10.1016/j.scitotenv.2010.12.019",NA
"633","10.1016/j.scitotenv.2010.11.020","tailings these"
"634","10.1016/j.scitotenv.2010.11.020"," tailings the compost"
"635",NA,NA
"636","10.1016/j.envpol.2010.11.035","brominated pbdes"
"637","10.1016/j.phytochem.2010.11.008",NA
"638","10.1007/s00572-010-0343-1","nutrient-poor soils"
"639","10.1016/j.envpol.2010.09.032",NA
"640","10.1007/s00572-010-0340-4",NA
"641","10.1016/j.jhazmat.2010.09.004",NA
"642","10.1093/aob/mcq170","non-polluted soil"
"643","10.1093/aob/mcq170"," polluted soil"
"644","10.1093/aob/mcq170"," polluted site"
"645","10.1080/15226510903051740","contaminated soil"
"646","10.1080/15226510903051740"," as-contaminated soil"
"647","10.1016/j.scitotenv.2010.07.064",NA
"648","10.1016/j.jenvman.2010.07.008",NA
"649","10.1007/s00253-010-2791-0",NA
"650","10.1016/j.jhazmat.2010.05.042","contaminated soil"
"651","10.1016/j.plaphy.2010.04.002",NA
"652","10.1007/s00572-010-0311-9",NA
"653","10.1100/tsw.2010.59",NA
"654","10.1111/j.1469-8137.2009.03162.x",NA
"655","10.1002/jsfa.3871",NA
"656","10.1073/pnas.0906710107",NA
"657","10.1007/s00572-009-0296-4","artificially contaminated soil"
"658",NA,NA
"659",NA,NA
"660","10.1007/s00572-009-0294-6",NA
"661","10.1007/s00248-009-9618-5","polluted soil"
"662","10.1007/s00248-009-9618-5"," hm-polluted sites"
"663","10.1007/s00248-009-9618-5"," multicontaminated soil"
"664","10.1080/15226510902787310","pot culture"
"665","10.1080/15226510902787310"," contaminated soils"
"666","10.1007/s00572-009-0279-5","hydroponic cultures"
"667","10.1016/j.chemosphere.2009.08.050",NA
"668","10.1139/w09-031",NA
"669","10.1016/j.biortech.2009.07.010",NA
"670","10.1890/07-2080.1","elevated-temperature soils"
"671","10.1016/j.chemosphere.2009.05.025","contaminated soil"
"672","10.1016/j.scitotenv.2009.05.021",NA
"673","10.1007/s00248-009-9544-6",NA
"674","10.1093/treephys/tpp038",NA
"675","10.1890/08-0419.1",NA
"676","10.1007/s00572-009-0241-6",NA
"677","10.1007/s00442-009-1312-2",NA
"678","10.1016/j.chemosphere.2009.02.008",NA
"679","10.1016/j.chemosphere.2009.01.046","contaminated soil"
"680","10.1007/s00248-009-9489-9",NA
"681","10.1007/s00442-009-1294-0",NA
"682","10.1016/j.envpol.2008.12.030","cd-contaminated soils"
"683","10.1016/j.envpol.2008.12.030"," non-polluted area"
"684","10.1080/15226510802378483","metal-contaminated soils"
"685","10.1080/15226510802378483"," contaminated soil"
"686","10.1007/s00572-009-0230-9","metal-contaminated soils"
"687","10.1007/s00572-009-0230-9"," toxic metal"
"688","10.1016/j.envpol.2008.12.022",NA
"689","10.1007/s00572-009-0228-3",NA
"690","10.1007/s00442-008-1192-x",NA
"691","10.1890/07-1394.1",NA
"692","10.1139/w08-081",NA
"693","10.1007/s00572-008-0203-4",NA
"694","10.1016/s1001-0742(08)62121-x","polluted soils"
"695","10.1111/j.1574-6968.2008.01318.x",NA
"696","10.1016/j.ecoenv.2008.01.027","bermudagrass bahiagrass"
"697","10.1016/j.ecoenv.2008.01.027"," bahiagrass longan"
"698","10.1007/s00572-008-0178-1",NA
"699","10.1016/j.chemosphere.2008.03.040","as-contaminated soils"
"700","10.1016/j.chemosphere.2008.03.040"," as-contaminated"
"701","10.1016/j.chemosphere.2008.03.040"," as-contaminated soil"
"702","10.3852/mycologia.100.1.6",NA
"703","10.1890/07-0823.1",NA
"704","10.1016/j.scitotenv.2008.02.003",NA
"705","10.1016/j.envpol.2008.01.003",NA
"706","10.1055/s-2007-964963",NA
"707","10.1016/j.biortech.2007.11.059",NA
"708","10.1016/s1001-0742(07)60203-4","as-contaminated soil"
"709","10.1016/j.jenvrad.2007.10.007",NA
"710","10.1016/j.envpol.2007.10.023","contaminated soils"
"711","10.1016/j.envpol.2007.10.023"," contaminated soil"
"712","10.1111/j.1365-2672.2007.03296.x",NA
"713","10.1016/j.wasman.2007.05.008",NA
"714","10.1016/j.envpol.2007.04.005","soil polluted"
"715","10.1016/j.envpol.2007.04.002","ni-polluted soils"
"716","10.1016/j.jenvrad.2007.04.001",NA
"717","10.1007/s10646-007-0149-x",NA
"718","10.2134/jeq2006.0260","contaminated soils"
"719","10.1016/j.envpol.2007.03.015","naturally contaminated soil"
"720","10.1016/j.envpol.2007.03.015"," contaminated soil"
"721","10.1016/j.chemosphere.2007.02.068",NA
"722","10.3923/pjbs.2007.1491.1495",NA
"723","10.1007/s00248-007-9239-9","saline soil"
"724","10.1007/s00248-007-9239-9"," saline soils"
"725",NA,NA
"726","10.1055/s-2006-955946",NA
"727",NA,NA
"728","10.1007/s00248-006-9078-0",NA
"729","10.1016/j.envpol.2006.08.005",NA
"730","10.1016/j.scitotenv.2006.07.008","metal-contaminated sites"
"731","10.1016/j.scitotenv.2006.07.008"," contaminated soil"
"732","10.1016/j.envpol.2006.06.029","polluted soils"
"733","10.1016/j.envpol.2006.06.029"," contaminated soil"
"734","10.1016/j.chemosphere.2006.07.007","contaminated soils"
"735","10.1016/j.jhazmat.2006.05.012",NA
"736","10.2134/jeq2005.0271",NA
"737","10.1128/aem.63.11.4408-4412.1997",NA
"738","10.1007/s10653-005-9020-2",NA
"739","10.1016/j.chemosphere.2006.01.034",NA
"740","10.1111/j.1365-2672.2005.02804.x","zn-contaminated soil"
"741","10.1111/j.1365-2672.2005.02804.x"," zn-contaminated soils"
"742","10.1055/s-2005-872972",NA
"743","10.1007/s00572-005-0022-9",NA
"744","10.1007/s00572-005-0020-y","salt-affected soil"
"745","10.1111/j.1469-8137.2005.01490.x",NA
"746","10.1007/s00572-005-0018-5",NA
"747","10.1017/s0953756205002832",NA
"748","10.1007/s00572-005-0003-z",NA
"749","10.1016/j.chemosphere.2005.01.038",NA
"750","10.1016/j.envpol.2005.05.009","slightly acidic soil"
"751","10.1016/j.envpol.2005.05.005","contaminated substrate"
"752","10.1016/j.envint.2005.05.041","highly polluted sites"
"753","10.1016/j.envint.2005.05.041"," moderately contaminated soils"
"754","10.1016/j.chemosphere.2005.01.029",NA
"755","10.1016/j.jbiotec.2004.12.009","artificially contaminated soil"
"756","10.1016/j.jbiotec.2004.12.009"," cd-polluted soil"
"757","10.1016/j.scitotenv.2004.07.015",NA
"758","10.1016/j.chemosphere.2004.10.009","contaminated soil artificially"
"759","10.1016/j.chemosphere.2004.10.009"," contaminated soil"
"760","10.1007/s00248-003-0131-y","nonamended soil"
"761","10.1007/s00442-004-1777-y",NA
"762","10.1007/s00572-004-0321-6","acidic mine"
"763","10.1016/j.envpol.2004.02.015",NA
"764","10.1007/s00572-004-0312-7",NA
"765","10.1128/AEM.70.5.2692-2701.2004",NA
"766","10.1016/S0960-8524(03)00198-6",NA
"767","10.1046/j.1469-8137.2003.00938.x",NA
"768","10.1007/s00572-003-0289-7",NA
"769","10.2134/jeq2003.2001","as-contaminated soils"
"770","10.2134/jeq2003.2001"," as-rich soils"
"771","10.1139/w03-073","pb-spiked soil"
"772","10.1007/s00572-003-0281-2","contaminated sites"
"773","10.1007/s00572-003-0281-2"," sandy calcareous"
"774","10.1007/s00572-003-0224-y",NA
"775","10.1007/s00572-003-0274-1","saline soil"
"776","10.1007/s00572-003-0265-2",NA
"777","10.1007/s00572-002-0213-6",NA
"778","10.1016/s0269-7491(03)00195-7","polluted soils"
"779","10.1016/s0269-7491(03)00195-7"," polluted soil"
"780","10.1046/j.1469-8137.2003.00688.x",NA
"781","10.1007/s00267-002-2879-0",NA
"782","10.1093/treephys/23.3.157",NA
"783","10.1016/s0045-6535(02)00323-5",NA
"784","10.1007/s00442-002-1022-5",NA
"785","10.1007/s00572-001-0147-4",NA
"786","10.1093/jexbot/53.371.1207",NA
"787","10.1093/jexbot/53.371.1177",NA
"788","10.1007/s00572-001-0140-y",NA
"789","10.3732/ajb.89.2.337","field soils"
"790","10.3732/ajb.89.2.337"," p-limited sites"
"791","10.1046/j.0028-646X.2001.00265.x",NA
"792","10.1078/0944-5013-00095",NA
"793","10.1007/s005720100122",NA
"794","10.1093/jexbot/51.347.1117",NA
"795","10.1046/j.1469-8137.1999.00471.x",NA
"796","10.1007/s004420050685",NA
"797",NA,"barren areas"
"798","10.1007/s005720050190",NA
"799","10.1046/j.1469-8137.1997.00786.x",NA
"800",NA,NA
"801",NA,NA
"802","10.1016/0269-7491(95)00081-x",NA
"803","10.1016/0269-7491(95)93444-5",NA
"804","10.1016/0269-7491(94)90188-0","contaminated soils"
"805","10.1016/0269-7491(94)90188-0"," contaminated soil"
"806","10.1104/pp.101.3.1063",NA
"807","10.1007/BF00317489",NA
"808","10.1007/BF01225356",NA
"809","10.1111/j.1469-8137.1990.tb00376.x",NA
"810",NA,"field soil"
