"","study_id","SOILTYPE"
"130","10.1080/15592324.2022.2134676",NA
"131","10.1186/s12870-022-03790-8","alkaline soils"
"132","10.3389/fpls.2022.968719","karst soil"
"133","10.1186/s12864-022-08797-x",NA
"134","10.1016/j.envpol.2022.120309","cd-contaminated soil"
"135","10.3389/fmicb.2022.1006140",NA
"136","10.3390/plants11172276",NA
"137","10.3389/fpls.2022.965576",NA
"138","10.1007/s11356-022-22540-9",NA
"139","10.3389/fpls.2022.845794",NA
"140","10.3389/fpls.2022.947547",NA
"141","10.3389/fmicb.2022.827293",NA
"142","10.3390/plants11141860",NA
"143","10.1038/s41598-022-17075-5","contaminated soils"
"144","10.1038/s41598-022-17075-5"," contaminated soils less"
"145","10.1038/s41396-022-01293-w",NA
"146","10.1002/fes3.370",NA
"147","10.3390/plants11131780","saline soils"
"148","10.3390/plants11131743",NA
"149","10.1016/j.envpol.2022.119661",NA
"150","10.3389/fpls.2022.898378",NA
"151","10.3389/fpls.2022.892826",NA
"152","10.3389/fpls.2022.898969",NA
"153","10.1016/j.plantsci.2022.111308",NA
"154","10.3389/fmicb.2022.881442","agricultural soil"
"155","10.1016/j.jhazmat.2022.129077",NA
"156","10.3390/microorganisms10051042","salt-affected soils"
"157","10.3390/microorganisms10051042"," saline soil"
"158","10.3389/fpls.2022.880181","nutrient-deficient karst"
"159","10.1007/s11356-022-19838-z",NA
"160","10.1080/15226514.2022.2071832","contaminated soil"
"161","10.1371/journal.pone.0266526",NA
"162","10.3390/life12040497","p different phosphatic"
"163","10.1002/ps.6923",NA
"164","10.1186/s12870-022-03514-y",NA
"165","10.3390/plants11070861",NA
"166","10.3389/fmicb.2022.814323",NA
"167","10.7717/peerj.13080",NA
"168","10.3390/molecules27061752",NA
"169","10.1111/plb.13402","invaded soils"
"170","10.1111/plb.13402"," native soils"
"171","10.1007/s00203-022-02786-0",NA
"172","10.1016/j.scitotenv.2022.153696","sandy soils"
"173","10.1016/j.scitotenv.2022.153696"," high heavy metal"
"174","10.3390/plants11010089",NA
"175","10.1007/s00248-021-01945-y","contaminated soil"
"176","10.1007/s00248-021-01945-y"," contaminated soils"
"177","10.1007/s00248-021-01945-y"," post-industrial soils"
"178","10.1007/s00248-021-01945-y"," heavy metal-contaminated"
"179","10.1007/s00572-021-01059-w",NA
"180","10.3390/plants10122716","saline soil"
"181","10.3390/plants10122716"," arid soils"
"182","10.3390/plants10122716"," saline soils"
"183","10.1007/s00284-021-02682-8",NA
"184","10.1038/s41598-021-03132-y",NA
"185","10.1002/eap.2501",NA
"186","10.1002/ppp3.10094",NA
"187","10.1016/j.crmicr.2021.100061","laterite rocks"
"188","10.1016/j.crmicr.2021.100061"," barren laterite"
"189","10.1016/j.crmicr.2021.100061"," laterite soils"
"190","10.1371/journal.pone.0259959",NA
"191","10.1016/j.scitotenv.2021.151803","coarse-textured soil"
"192","10.1016/j.scitotenv.2021.151803"," arsenic-contaminated soils"
"193","10.1016/j.scitotenv.2021.151803"," medium-textured soil"
"194","10.1007/s11356-021-17256-1",NA
"195","10.1016/j.scitotenv.2021.151649",NA
"196","10.1080/15226514.2021.2002809","cu-contaminated soil"
"197","10.1080/15226514.2021.2002809"," contaminated soils"
"198","10.1080/15226514.2021.2002809"," heavy metal-contaminated"
"199","10.1007/s00572-021-01057-y",NA
"200","10.3389/fpls.2021.740524",NA
"201","10.1016/j.sjbs.2021.08.016",NA
"202","10.3390/plants10091948",NA
"203","10.3390/microorganisms9091803","nutrient-poor substrate"
"204","10.1038/s41598-021-97674-w",NA
"205","10.1016/j.scitotenv.2021.149904",NA
"206","10.3390/molecules26175321","trace element (te)-polluted soil"
"207","10.1016/j.jhazmat.2021.125894",NA
"208","10.1016/j.scitotenv.2021.149843",NA
"209","10.1007/s00572-021-01048-z",NA
"210","10.1007/s00248-021-01841-5",NA
"211","10.1016/j.jenvman.2021.113516","contaminated soils"
"212","10.1016/j.jtbi.2021.110859",NA
