"","study_id","RESPONSE"
"118","10.1007/s12298-023-01369-7"," the growth enzymes expressions"
"119","10.1007/s10123-023-00466-7","biomass cassava above-ground"
"120","10.1007/s10123-023-00466-7"," biomass"
"121","10.1007/s10123-023-00466-7"," growth"
"122","10.1007/s10123-023-00466-7"," dry biomass"
"123","10.1111/nph.19493","depressed growth"
"124","10.1111/nph.19493"," wheat yield"
"125","10.1111/nph.19493"," crop ecosystem yield both"
"126","10.1111/nph.19493"," wheat biomass"
"127","10.3390/plants12244171","yield response"
"128","10.3390/plants12244171"," biomass"
"129","10.3390/plants12244171"," the yield quality"
"130","10.3390/plants12244088","mass"
"131","10.3390/plants12244088"," biomass"
"132","10.3390/jof9121152","root growth"
"133","10.3390/jof9121152"," yield"
"134","10.3390/jof9121152"," biomass"
"135","10.3390/jof9121152"," the biomass highest"
"136","10.3390/jof9121152"," the growth production"
"137","10.3390/jof9121152"," plant growth"
"138","10.3390/jof9121152"," growth"
"139","10.3390/plants12234012","root biomass"
"140","10.3390/plants12234012"," plant growth"
"141","10.3390/plants12234012"," growth"
"142","10.3390/plants12234012"," 5-fold"
"143","10.3390/plants12234012"," shoot biomass"
"144","10.3390/plants12234012"," 3.4-fold"
"145","10.1111/pce.14771","flower biomass"
"146","10.1016/j.jenvman.2023.119509","plant biomass"
"147","10.1016/j.jenvman.2023.119509"," reduced biomass non-n sub>2</sub>-ﬁxing"
"148","10.1016/j.jenvman.2023.119509"," the biomass greater sub>2</sub>-fixing"
"149","10.1016/j.jenvman.2023.119509"," the biomass"
"150","10.1016/j.envpol.2023.122841","biomass"
"151","10.1016/j.envpol.2023.122841"," the growth"
"152","10.1007/s10886-023-01455-w","plant biomass"
"153","10.3390/jof9100977","biomass"
"154","10.3390/jof9100977"," plant growth"
"155","10.1007/s13205-023-03793-8","grain biomass"
"156","10.1007/s13205-023-03793-8"," plant growth"
"157","10.1007/s13205-023-03793-8"," healthy growth"
"158","10.1093/treephys/tpad130","seedling biomass"
"159","10.1093/treephys/tpad130"," root biomasses"
"160","10.3390/plants12193426","root growth"
"161","10.3390/plants12193426"," yield"
"162","10.3390/plants12193426"," the growth morphology"
"163","10.3390/plants12193426"," pod biomass"
"164","10.3390/plants12193426"," the yield pod"
"165","10.3390/plants12193426"," high yield"
"166","10.1007/s00572-023-01126-4","plant biomass"
"167","10.1007/s00572-023-01126-4"," plant growth"
"168","10.1007/s00572-023-01126-4"," plant biomass"
"169","10.1016/j.envres.2023.117219","dry weight"
