STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
35630484.9,,dry weight,n,,dry weight,99
35630484.9,mm nacl,dry weight,8.10.6,,dry weight,99
35630484.9,,dry weight,5.20.3,,dry weight,99
35630484.9,,dry weight,7.040.5,,dry weight,99
35630484.9,,dry weight,4640.2,,dry weight,99
35630484.9,250 nacl,dry weight,27.21.9,,dry weight,99
35630484.9,,dry weight,13.741.1,,dry weight,99
35630484.9,,dry weight,19.441.7,,dry weight,99
35630484.9,,dry weight,11.040.8,,dry weight,99
35630484.9,,dry weight,0.28,,dry weight,99
35630484.9,,dry weight,pp,,dry weight,99
35630484.9,mm nacl,dry weight,94.848.2,,dry weight,99
35630484.9,,dry weight,142.0412.4,,dry weight,99
35630484.9,,dry weight,116.7410.3,,dry weight,99
35630484.9,,dry weight,159.6 413.5,,dry weight,99
35630484.9,250 nacl,dry weight,26.242.3,,dry weight,99
35630484.9,,dry weight,78.96.4,,dry weight,99
35630484.9,,dry weight,65.36.1,,dry weight,99
35630484.9,,dry weight,88.147.6,,dry weight,99
35630484.9,,dry weight,2.14,,dry weight,99
35630484.9,,dry weight,,,dry weight,99
35630484.9,mm nacl,dry weight,1640.1,,dry weight,99
35630484.9,,dry weight,1.840.1,,dry weight,99
35630484.9,,dry weight,2.90.2,,dry weight,99
35630484.9,,dry weight,3.20.2,,dry weight,99
35630484.9,250 nacl,dry weight,0.6  0.04,,dry weight,99
35630484.9,,dry weight,1.040.07,,dry weight,99
35630484.9,,dry weight,1.240.1,,dry weight,99
35630484.9,,dry weight,1.440.1,,dry weight,99
35630484.9,,dry weight,0.16,,dry weight,99
35694314,a.longrptsp,weight,,,weight g nan nan nan nan,99
35694314,mnrptsp,weight,,,weight g nan nan nan nan,99
35694314,mgrptsp g.sp1,weight,,,weight g nan nan nan nan,99
35694314,g.sp2,weight,,,weight g nan nan nan nan,99
35694314,a.longtsp,weight,,,weight g nan nan nan nan,99
35694314,mntsp,weight,,,weight g nan nan nan nan,99
35694314,g.sp1,weight,,,weight g nan nan nan nan,99
35694314,g.sp2 a.longrp,weight,,,weight g nan nan nan nan,99
35694314,mnrp mgrp,weight,,,weight g nan nan nan nan,99
31203456,control,biomass,0.0780.0126,,shoot biomass g,99
31203456,aca fra,biomass,0.1640.028,,shoot biomass g,99
31203456,aca sac,biomass,0.3960.107,,shoot biomass g,99
31203456,cla etu,biomass,0.4720.08,,shoot biomass g,99
31203456,per sim,biomass,0.720.121,,shoot biomass g,99
31203456,rhi neo,biomass,0.9480.148,,shoot biomass g,99
31203456,scu ova,biomass,0.1740.029,,shoot biomass g,99
31203456,mix 1,biomass,1.0510.099,,shoot biomass g,99
31203456,mix 2,biomass,0.9890.217,,shoot biomass g,99
31203456,mix 3,biomass,0.8820.107,,shoot biomass g,99
31203456,mix 4,biomass,0.5860.105,,shoot biomass g,99
31203456,mix 5,biomass,1.72540.112,,shoot biomass g,99
31203456,mix 6,biomass,1.30140.084,,shoot biomass g,99
31203456,control,biomass,0.0490.008,,roots biomass g,99
31203456,aca fra,roots biomass,0.0710.012,,roots biomass g,99
31203456,aca sac,roots biomass,0.2250.05,,roots biomass g,99
31203456,cla etu,roots biomass,0.2140.032,,roots biomass g,99
31203456,per sim,roots biomass,0.3610.049,,roots biomass g,99
31203456,rhi neo,roots biomass,0.3390.051,,roots biomass g,99
31203456,scu ova,roots biomass,0.1450.024,,roots biomass g,99
31203456,mix 1,roots biomass,0.2990.036,,roots biomass g,99
31203456,mix 2,roots biomass,0.3160.06,,roots biomass g,99
31203456,mix 3,roots biomass,0.2670.022,,roots biomass g,99
31203456,mix 4,roots biomass,0.2820.043,,roots biomass g,99
31203456,mix 5,roots biomass,0.5810.045,,roots biomass g,99
31203456,mix 6,roots biomass,0.3640.029,,roots biomass g,99
34576699.1,inoculum,dry weight,3.06,,shoot dry weight f,99
34576699.1,phytate,dry weight,8.018,,shoot dry weight f,99
34576699.1,inoculum phytate,dry weight,0.983,,shoot dry weight f,99
34576699.1,inoculum,dry weight,3.899,,root dry weight f,99
34576699.1,phytate,dry weight,0.037,,root dry weight f,99
34576699.1,inoculum phytate,dry weight,0.009,,root dry weight f,99
38716345,,plant height,33.24  15.8,,plant height at 4 cm nan 43.54  8.27,99
38716345,,plant height,51.82  5.2,,plant height at 4 cm nan 43.54  8.27,99
38716345,,plant height,49.37  11.45,,plant height at 4 cm nan 43.54  8.27,99
38716345,,plant height,54  5.66,,plant height at 4 cm nan 43.54  8.27,99
38716345,,plant height,36.25  13.98,,plant height at 4 cm nan 43.54  8.27,99
38716345,sl23,plant height,35  6.8,,plant height at 4 cm nan 43.54  8.27,99
38716345,,plant height,32.68  13.02,,plant height at 4 cm nan 43.54  8.27,99
