DOI,PMID
10.1007/s00128-021-03329-x,34236456
10.3390/plants10071333,34209987
10.1007/s11356-021-15045-4,34184234
10.1002/jsfa.11382,34146349
10.1007/s11356-021-14821-6,34120281
10.3390/plants10050950,34068692
10.3390/jof7050361,34063150
10.1016/j.scitotenv.2021.147944,34062469
10.1016/j.scitotenv.2021.147943,34058592
10.13287/j.1001-9332.202105.022,34042371
10.1111/ppl.13454,33964177
10.1016/j.ecoenv.2021.112154,33901784
10.1007/s00572-021-01031-8,33893547
10.3389/fmicb.2021.618169,33889135
10.1186/s12870-021-02949-z,33888066
10.1007/s11356-021-13755-3,33860891
10.3389/fpls.2021.614162,33815436
10.1016/j.ecoenv.2021.112170,33773154
10.1007/s00572-021-01028-3,33761015
10.13227/j.hjkx.202008154,33742842
10.1038/s41598-021-85497-8,33731841
10.1016/j.ecoenv.2021.112072,33691243
10.1002/jeq2.20212,33684227
10.3389/fpls.2021.617892,33603763
10.1007/s00248-021-01710-1,33580815
10.1007/s00128-021-03113-x,33559032
10.1016/j.ecoenv.2021.111996,33545409
10.1016/j.envpol.2021.116499,33516957
10.3389/fmicb.2020.586050,33424786
10.1016/j.sjbs.2020.09.053,33424302
10.1007/s11356-020-12131-x,33394446
10.3390/plants9121801,33353122
10.1111/jam.14951,33269514
10.3389/fpls.2020.516818,33193464
10.1016/j.envpol.2020.115980,33189450
10.1016/j.jhazmat.2020.124325,33153785
10.3390/microorganisms8111695,33143245
10.1007/s10646-020-02298-x,33141388
10.3390/ijms21217987,33121138
10.1007/s00572-020-00991-7,33105489
10.1016/j.ecoenv.2020.111495,33099139
10.1007/s11356-020-10636-z,32895795
10.1371/journal.pone.0234099,32810132
10.3390/plants9080975,32752090
10.1016/j.micres.2020.126556,32683279
10.1016/j.ecoenv.2020.110988,32678761
10.1016/j.jtemb.2020.126594,32622175
10.13227/j.hjkx.201906119,32608755
10.3390/plants9070804,32604987
10.1016/j.ecoenv.2020.110869,32585490
10.3390/jof6020087,32560046
10.3390/microorganisms8060899,32549234
10.1007/s00572-020-00962-y,32472206
10.1007/978-1-0716-0603-2_3,32415593
10.1007/s00572-020-00957-9,32367433
10.3390/microorganisms8040602,32326329
10.1186/s40529-020-00290-6,32307601
10.3390/jof6020044,32244390
10.1016/j.envpol.2020.114406,32234646
10.1016/j.ecoenv.2020.110485,32203776
10.3389/fpls.2020.00072,32174929
10.3390/microorganisms8030364,32143469
10.3390/ijms21051748,32143345
10.3390/microorganisms8030327,32110985
10.1080/15226514.2020.1725867,32064907
10.1038/s41598-020-59447-9,32060306
10.3390/microorganisms8020230,32046366
10.1007/s11356-020-07886-2,32034593
10.1007/s00442-020-04598-9,31989319
10.1007/s11356-020-07781-w,31975001
10.1016/j.scitotenv.2019.136294,31923669
10.1016/j.jenvman.2019.109982,31868642
10.1016/j.jhazmat.2019.121873,31862351
10.1007/s11356-019-07300-6,31838702
10.1007/s00572-019-00927-w,31823026
10.3390/microorganisms7120651,31817176
10.3389/fmicb.2019.02634,31798561
10.3389/fmicb.2019.02591,31781076
