"","study_id","ECOREGION"
"148","10.1016/j.crmicr.2021.100061",NA
"149","10.1371/journal.pone.0259959","arid regions"
"150","10.1016/j.scitotenv.2021.151803",NA
"151","10.1007/s11356-021-17256-1",NA
"152","10.1016/j.scitotenv.2021.151649",NA
"153","10.1080/15226514.2021.2002809",NA
"154","10.1007/s00572-021-01057-y","tropical montane"
"155","10.3389/fpls.2021.740524",NA
"156","10.1016/j.sjbs.2021.08.016",NA
"157","10.3390/plants10091948",NA
"158","10.3390/microorganisms9091803",NA
"159","10.1038/s41598-021-97674-w",NA
"160","10.1016/j.scitotenv.2021.149904",NA
"161","10.3390/molecules26175321","marginal lands"
"162","10.1016/j.jhazmat.2021.125894",NA
"163","10.1016/j.scitotenv.2021.149843",NA
"164","10.1007/s00572-021-01048-z",NA
"165","10.1007/s00248-021-01841-5",NA
"166","10.1016/j.jenvman.2021.113516",NA
"167","10.1016/j.jtbi.2021.110859",NA
"168","10.1038/s41598-021-94092-w",NA
"169","10.3389/fpls.2021.693044","cities"
"170","10.1007/s11356-021-15326-y",NA
"171","10.1007/s00128-021-03329-x",NA
"172","10.3390/plants10071333",NA
"173","10.1007/s11356-021-15045-4",NA
"174","10.1002/jsfa.11382",NA
"175","10.1007/s11356-021-14821-6",NA
"176","10.3390/plants10050950",NA
"177","10.3390/jof7050361",NA
"178","10.1016/j.scitotenv.2021.147944",NA
"179","10.1016/j.scitotenv.2021.147943","mediterranean climate"
"180","10.13287/j.1001-9332.202105.022",NA
"181","10.1111/ppl.13454",NA
"182","10.1016/j.ecoenv.2021.112154",NA
"183","10.1007/s00572-021-01031-8",NA
"184","10.3389/fmicb.2021.618169",NA
"185","10.1186/s12870-021-02949-z","agro ecosystems"
"186","10.1007/s11356-021-13755-3",NA
"187","10.3389/fpls.2021.614162",NA
"188","10.1016/j.ecoenv.2021.112170",NA
"189","10.1007/s00572-021-01028-3",NA
"190","10.13227/j.hjkx.202008154",NA
"191","10.1038/s41598-021-85497-8",NA
"192","10.1016/j.ecoenv.2021.112072",NA
"193","10.1002/jeq2.20212","metropolitan areas"
"194","10.1002/jeq2.20212"," metropolitan area"
"195","10.3389/fpls.2021.617892",NA
