"","study_id","ECOREGION"
"196","10.1007/s00248-021-01710-1",NA
"197","10.1007/s00128-021-03113-x",NA
"198","10.1016/j.ecoenv.2021.111996",NA
"199","10.1016/j.envpol.2021.116499",NA
"200","10.3389/fmicb.2020.586050",NA
"201","10.1016/j.sjbs.2020.09.053",NA
"202","10.1007/s11356-020-12131-x",NA
"203","10.3390/plants9121801",NA
"204","10.1111/jam.14951",NA
"205","10.3389/fpls.2020.516818",NA
"206","10.1016/j.envpol.2020.115980",NA
"207","10.1016/j.jhazmat.2020.124325",NA
"208","10.3390/microorganisms8111695",NA
"209","10.1007/s10646-020-02298-x",NA
"210","10.3390/ijms21217987",NA
"211","10.1007/s00572-020-00991-7",NA
"212","10.1016/j.ecoenv.2020.111495",NA
"213","10.1007/s11356-020-10636-z",NA
"214","10.1371/journal.pone.0234099",NA
"215","10.3390/plants9080975",NA
"216","10.1016/j.micres.2020.126556",NA
"217","10.1016/j.ecoenv.2020.110988",NA
"218","10.1016/j.jtemb.2020.126594",NA
"219","10.13227/j.hjkx.201906119",NA
"220","10.3390/plants9070804",NA
"221","10.1016/j.ecoenv.2020.110869",NA
"222","10.3390/jof6020087",NA
"223","10.3390/microorganisms8060899",NA
"224","10.1007/s00572-020-00962-y",NA
"225","10.1007/978-1-0716-0603-2_3",NA
"226","10.1007/s00572-020-00957-9",NA
"227","10.3390/microorganisms8040602",NA
"228","10.1186/s40529-020-00290-6",NA
"229","10.3390/jof6020044","terrestrial environments"
"230","10.1016/j.envpol.2020.114406",NA
"231","10.1016/j.ecoenv.2020.110485",NA
"232","10.3389/fpls.2020.00072",NA
"233","10.3390/microorganisms8030364",NA
"234","10.3390/ijms21051748",NA
"235","10.3390/microorganisms8030327",NA
"236","10.1080/15226514.2020.1725867",NA
"237","10.1038/s41598-020-59447-9",NA
"238","10.3390/microorganisms8020230",NA
"239","10.1007/s11356-020-07886-2",NA
"240","10.1007/s00442-020-04598-9",NA
"241","10.1007/s11356-020-07781-w",NA
"242","10.1016/j.scitotenv.2019.136294",NA
"243","10.1016/j.jenvman.2019.109982",NA
"244","10.1016/j.jhazmat.2019.121873",NA
"245","10.1007/s11356-019-07300-6",NA
"246","10.1007/s00572-019-00927-w",NA
"247","10.3390/microorganisms7120651",NA
"248","10.3389/fmicb.2019.02634",NA
"249","10.3389/fmicb.2019.02591",NA
"250","10.1007/s11356-019-06785-5",NA
"251","10.1007/s10661-019-7873-6",NA
"252","10.1002/jsfa.10166",NA
"253","10.1016/j.ecoenv.2019.109783",NA
"254","10.1038/s41598-019-51369-5",NA
"255","10.1038/s41598-019-50354-2",NA
"256","10.1016/j.chemosphere.2019.124710",NA
"257","10.1007/s00572-019-00914-1",NA
"258","10.3390/microorganisms7090289",NA
"259","10.1007/s42770-019-00125-y","semi-arid region"
"260","10.3389/fpls.2019.00843","semi-arid regions"
"261","10.1002/ecy.2855",NA
"262","10.3389/fpls.2019.00895",NA
"263","10.1016/j.ecoenv.2019.109476",NA
"264","10.1016/j.jenvman.2019.06.130",NA
"265","10.1016/j.jenvman.2019.06.123",NA
"266","10.1016/j.ecoenv.2019.109383",NA
"267","10.1016/j.chemosphere.2019.06.160",NA
"268","10.1016/j.jhazmat.2019.120813",NA
"269","10.1371/journal.pone.0218969",NA
"270","10.1007/s00572-019-00900-7",NA
"271","10.1111/nph.15993",NA
"272","10.1007/s00572-019-00898-y",NA
"273","10.1016/j.envpol.2019.03.060",NA
"274","10.1007/s11356-019-05323-7",NA
"275","10.3390/molecules24081603",NA
"276","10.1039/c8ra10442e",NA
"277","10.1007/s00572-019-00890-6",NA
"278","10.1016/j.chemosphere.2018.12.211",NA
"279","10.34133/2019/5893953",NA
"280","10.1007/s00572-019-00884-4",NA
"281","10.1371/journal.pone.0213672",NA
"282","10.3390/foods8030090",NA
"283","10.7717/peerj.6421",NA
"284","10.1007/s00572-019-00883-5",NA
"285","10.3389/fpls.2018.01906",NA
"286","10.1007/s11356-019-04256-5",NA
"287","10.1111/1758-2229.12729",NA
"288","10.1016/j.ecoenv.2018.12.097",NA
"289","10.1016/j.scitotenv.2018.11.317",NA
"290","10.1002/ajb2.1206",NA
"291","10.3389/fpls.2018.01611",NA
"292","10.3389/fpls.2018.01631",NA
"293","10.3389/fpls.2018.01605",NA
"294","10.1016/j.chemosphere.2018.11.085",NA
"295","10.13287/j.1001-9332.201809.034","semiarid regions"
"296","10.1016/j.ecoenv.2018.10.046",NA
"297","10.19540/j.cnki.cjcmm.20180528.004",NA
"298","10.1016/j.chemosphere.2018.09.143",NA
"299","10.1016/j.chemosphere.2018.08.147",NA
"300","10.1186/s12898-018-0197-5",NA
"301","10.1007/s12088-018-0749-6",NA
"302","10.1002/ecy.2502",NA
"303","10.3390/plants7030063","semi-arid lands"
"304","10.1016/j.plantsci.2018.05.015",NA
"305","10.3389/fpls.2018.01046",NA
"306","10.1007/s00572-018-0856-6",NA
"307","10.3390/ijms19082160",NA
"308","10.1007/s00572-018-0853-9","hyper-arid ecosystems"
"309","10.1007/s00572-018-0853-9"," semi-arid"
"310","10.13227/j.hjkx.201702041",NA
"311","10.1007/s00572-018-0844-x",NA
"312","10.1016/j.envpol.2018.06.003",NA
"313","10.1080/15226514.2018.1438358",NA
"314","10.1007/s00572-018-0839-7","terrestrial systems"
"315","10.1007/s00572-018-0839-7"," terrestrial plants"
"316","10.3389/fpls.2018.00607",NA
"317","10.1186/s12284-018-0226-1",NA
"318","10.1093/femsec/fiy092","mediterranean zones"
"319","10.1093/femsec/fiy092"," semiarid regions"
"320","10.1093/femsec/fiy092"," semiarid"
"321","10.1016/j.envpol.2018.04.138",NA
"322","10.1016/j.ecoenv.2018.03.073",NA
"323","10.7717/peerj.4425",NA
"324","10.1007/s00572-018-0826-z",NA
"325","10.1007/s11356-018-1533-1",NA
"326","10.3389/fpls.2018.00093",NA
"327","10.1016/j.scitotenv.2018.01.331",NA
"328","10.1590/0001-3765201820160189",NA
"329","10.1139/cjm-2017-0521",NA
"330","10.3389/fpls.2017.02236",NA
"331","10.1007/s00572-018-0823-2",NA
"332","10.1007/s00572-018-0819-y",NA
"333","10.7717/peerj.4183",NA
"334","10.1186/s13104-017-3105-8",NA
"335","10.1016/j.chemosphere.2017.12.025",NA
"336","10.3934/microbiol.2017.4.938",NA
"337","10.1016/j.scitotenv.2017.11.188",NA
"338","10.1007/s00572-017-0809-5",NA
"339","10.1007/s00425-017-2808-3",NA
"340","10.1016/j.scitotenv.2017.09.066",NA
"341","10.1016/j.bjm.2017.04.005",NA
"342","10.1016/j.ecoenv.2017.06.059",NA
"343","10.1016/j.jenvman.2017.06.036",NA
"344","10.1007/s11356-017-9463-x",NA
"345","10.3389/fpls.2017.00931",NA
"346","10.1039/c7mt00072c",NA
"347","10.1007/s00572-017-0778-8",NA
"348","10.1007/s00248-017-0999-6","tropical seasonal"
"349","10.1080/15226514.2017.1284751",NA
"350","10.1016/j.scitotenv.2017.05.047",NA
"351","10.3389/fpls.2017.00684",NA
"352","10.1007/s00572-017-0775-y",NA
