"","study_id","LOCATION"
"624","10.1016/j.jenvrad.2007.04.001",NA
"625","10.1007/s10646-007-0149-x",NA
"626","10.2134/jeq2006.0260",NA
"627","10.1016/j.envpol.2007.03.015",NA
"628","10.1016/j.chemosphere.2007.02.068",NA
"629","10.3923/pjbs.2007.1491.1495","red azar shahr"
"630","10.1007/s00248-007-9239-9",NA
"631",NA,NA
"632","10.1055/s-2006-955946",NA
"633",NA,NA
"634","10.1007/s00248-006-9078-0",NA
"635","10.1016/j.envpol.2006.08.005",NA
"636","10.1016/j.scitotenv.2006.07.008","burkina faso"
"637","10.1016/j.envpol.2006.06.029",NA
"638","10.1016/j.chemosphere.2006.07.007",NA
"639","10.1016/j.jhazmat.2006.05.012",NA
"640","10.2134/jeq2005.0271",NA
"641","10.1128/aem.63.11.4408-4412.1997",NA
"642","10.1007/s10653-005-9020-2",NA
"643","10.1016/j.chemosphere.2006.01.034",NA
"644","10.1111/j.1365-2672.2005.02804.x",NA
"645","10.1055/s-2005-872972",NA
"646","10.1007/s00572-005-0022-9","oaxaca mexico"
"647","10.1007/s00572-005-0020-y","canada"
"648","10.1007/s00572-005-0020-y"," northeastern alberta"
"649","10.1111/j.1469-8137.2005.01490.x",NA
"650","10.1007/s00572-005-0018-5","australia"
"651","10.1017/s0953756205002832",NA
"652","10.1007/s00572-005-0003-z","chambly glooscap joliette kent"
"653","10.1007/s00572-005-0003-z"," chambly glooscap"
"654","10.1016/j.chemosphere.2005.01.038",NA
"655","10.1016/j.envpol.2005.05.009",NA
"656","10.1016/j.envpol.2005.05.005",NA
"657","10.1016/j.envint.2005.05.041",NA
"658","10.1016/j.chemosphere.2005.01.029",NA
"659","10.1016/j.jbiotec.2004.12.009",NA
"660","10.1016/j.scitotenv.2004.07.015",NA
"661","10.1016/j.chemosphere.2004.10.009","cr(vi"
"662","10.1007/s00248-003-0131-y",NA
"663","10.1007/s00442-004-1777-y","northern vancouver"
"664","10.1007/s00442-004-1777-y"," canada"
"665","10.1007/s00572-004-0321-6","united states"
"666","10.1007/s00572-004-0321-6"," eastern"
"667","10.1016/j.envpol.2004.02.015",NA
"668","10.1007/s00572-004-0312-7",NA
"669","10.1128/AEM.70.5.2692-2701.2004",NA
"670","10.1016/S0960-8524(03)00198-6",NA
"671","10.1046/j.1469-8137.2003.00938.x",NA
"672","10.1007/s00572-003-0289-7",NA
"673","10.2134/jeq2003.2001",NA
"674","10.1139/w03-073","hungary"
"675","10.1007/s00572-003-0281-2",NA
"676","10.1007/s00572-003-0224-y","costa rica"
"677","10.1007/s00572-003-0274-1",NA
"678","10.1007/s00572-003-0265-2",NA
"679","10.1007/s00572-002-0213-6","south africa"
"680","10.1016/s0269-7491(03)00195-7",NA
"681","10.1046/j.1469-8137.2003.00688.x",NA
"682","10.1007/s00267-002-2879-0",NA
"683","10.1093/treephys/23.3.157",NA
"684","10.1016/s0045-6535(02)00323-5",NA
"685","10.1007/s00442-002-1022-5",NA
"686","10.1007/s00572-001-0147-4",NA
"687","10.1093/jexbot/53.371.1207",NA
"688","10.1093/jexbot/53.371.1177",NA
"689","10.1007/s00572-001-0140-y",NA
"690","10.3732/ajb.89.2.337",NA
"691","10.1046/j.0028-646X.2001.00265.x",NA
"692","10.1078/0944-5013-00095",NA
"693","10.1007/s005720100122",NA
"694","10.1093/jexbot/51.347.1117",NA
"695","10.1046/j.1469-8137.1999.00471.x",NA
"696","10.1007/s004420050685",NA
"697",NA,NA
"698","10.1007/s005720050190",NA
"699","10.1046/j.1469-8137.1997.00786.x","spain"
"700",NA,"usa"
"701",NA," south-central florida"
"702",NA,"tropical atlantic forest"
"703","10.1016/0269-7491(95)00081-x",NA
"704","10.1016/0269-7491(95)93444-5",NA
"705","10.1016/0269-7491(94)90188-0",NA
"706","10.1104/pp.101.3.1063",NA
"707","10.1007/BF00317489",NA
"708","10.1007/BF01225356",NA
"709","10.1111/j.1469-8137.1990.tb00376.x",NA
"710",NA,NA
