"","study_id","LOCATION"
"145","10.3390/plants11070861",NA
"146","10.3389/fmicb.2022.814323",NA
"147","10.7717/peerj.13080",NA
"148","10.3390/molecules27061752",NA
"149","10.1111/plb.13402",NA
"150","10.1007/s00203-022-02786-0",NA
"151","10.1016/j.scitotenv.2022.153696",NA
"152","10.3390/plants11010089",NA
"153","10.1007/s00248-021-01945-y","soil usa"
"154","10.1007/s00248-021-01945-y"," new jersey"
"155","10.1007/s00572-021-01059-w",NA
"156","10.3390/plants10122716",NA
"157","10.1007/s00284-021-02682-8",NA
"158","10.1038/s41598-021-03132-y",NA
"159","10.1002/eap.2501",NA
"160","10.1002/ppp3.10094",NA
"161","10.1016/j.crmicr.2021.100061","india"
"162","10.1371/journal.pone.0259959",NA
"163","10.1016/j.scitotenv.2021.151803",NA
"164","10.1007/s11356-021-17256-1",NA
"165","10.1016/j.scitotenv.2021.151649",NA
"166","10.1080/15226514.2021.2002809",NA
"167","10.1007/s00572-021-01057-y",NA
"168","10.3389/fpls.2021.740524",NA
"169","10.1016/j.sjbs.2021.08.016",NA
"170","10.3390/plants10091948",NA
"171","10.3390/microorganisms9091803",NA
"172","10.1038/s41598-021-97674-w",NA
"173","10.1016/j.scitotenv.2021.149904",NA
"174","10.3390/molecules26175321",NA
"175","10.1016/j.jhazmat.2021.125894",NA
"176","10.1016/j.scitotenv.2021.149843",NA
"177","10.1007/s00572-021-01048-z","southeastern usa"
"178","10.1007/s00248-021-01841-5",NA
"179","10.1016/j.jenvman.2021.113516",NA
"180","10.1016/j.jtbi.2021.110859",NA
"181","10.1038/s41598-021-94092-w",NA
"182","10.3389/fpls.2021.693044",NA
"183","10.1007/s11356-021-15326-y",NA
"184","10.1007/s00128-021-03329-x",NA
"185","10.3390/plants10071333",NA
"186","10.1007/s11356-021-15045-4",NA
"187","10.1002/jsfa.11382","south-western australia"
"188","10.1007/s11356-021-14821-6",NA
"189","10.3390/plants10050950",NA
"190","10.3390/jof7050361",NA
"191","10.1016/j.scitotenv.2021.147944",NA
"192","10.1016/j.scitotenv.2021.147943",NA
"193","10.13287/j.1001-9332.202105.022",NA
"194","10.1111/ppl.13454",NA
"195","10.1016/j.ecoenv.2021.112154",NA
"196","10.1007/s00572-021-01031-8",NA
"197","10.3389/fmicb.2021.618169",NA
"198","10.1186/s12870-021-02949-z",NA
"199","10.1007/s11356-021-13755-3","yunyan 87"
"200","10.3389/fpls.2021.614162",NA
"201","10.1016/j.ecoenv.2021.112170",NA
"202","10.1007/s00572-021-01028-3",NA
"203","10.13227/j.hjkx.202008154",NA
