"","study_id","LANDUSE"
"130","10.3390/microorganisms11051113"," undisturbed site"
"131","10.3390/microorganisms11051113"," disturbed site"
"132","10.3390/plants12112195",NA
"133","10.3390/life13051118",NA
"134","10.3390/jof9050540","impacted"
"135","10.3390/plants12091908","crop two-rowed barley"
"136","10.3390/plants12091908"," crop"
"137","10.3390/plants12091908"," conventional organic cropping"
"138","10.1093/treephys/tpad064","wood production"
"139","10.3390/jof9040479","heavy metals"
"140","10.3390/biology12040628","a secondary crop"
"141","10.3390/biology12040628"," agro-forest"
"142","10.3390/biology12040628"," mixed truffle-oak-amf-map plantations"
"143","10.1186/s12284-023-00635-2",NA
"144","10.1016/j.ecoenv.2023.114776","heavy metal"
"145","10.1016/j.ecoenv.2023.114776"," the remediation"
"146","10.1016/j.ecoenv.2023.114776"," soil heavy metal"
"147","10.1016/j.micres.2023.127350",NA
"148","10.3389/fpls.2023.1140467",NA
"149","10.3390/plants12051184","ex-arable"
"150","10.3390/plants12051184"," restoration"
"151","10.3390/plants12051184"," us grassland restorations faberi"
"152","10.1186/s12870-023-04111-3",NA
"153","10.3389/fpls.2023.1101932",NA
"154","10.3390/plants12030547","heavy metal"
"155","10.3390/plants12030547"," remediation"
"156","10.3390/plants12030547"," metal contamination"
"157","10.3390/plants12030547"," heavy metal"
"158","10.1007/s00442-023-05329-6",NA
"159","10.3390/microorganisms11010050",NA
"160","10.1007/s00284-022-03145-4","agricultural"
"161","10.1007/s00284-022-03145-4"," crop"
"162","10.1007/s00284-022-03145-4"," ecological restoration"
"163","10.1007/s00284-022-03145-4"," agriculture legume"
"164","10.1016/j.scitotenv.2022.160616","succession forest"
"165","10.1016/j.scitotenv.2022.160616"," forest disturbances"
"166","10.1016/j.scitotenv.2022.160616"," grassland succession"
"167","10.1016/j.scitotenv.2022.160616"," successional"
"168","10.1016/j.scitotenv.2022.160616"," late-successional"
"169","10.1016/j.scitotenv.2022.160550","successional"
"170","10.1016/j.scitotenv.2022.160550"," plant succession"
"171","10.1016/j.scitotenv.2022.160550"," primary successional"
"172","10.3390/microorganisms10112287",NA
"173","10.3389/fpls.2022.1022319",NA
"174","10.3389/fpls.2022.993301","toxic"
"175","10.3389/fpls.2022.993301"," afforestation"
"176","10.3389/fpls.2022.993301"," biorestoration"
"177","10.3389/fpls.2022.993301"," element contamination"
"178","10.3389/fpls.2022.993301"," bioremediation"
"179","10.3389/fpls.2022.993301"," biofertilization"
"180","10.1007/s11356-022-23919-4","toxic"
"181","10.1016/j.chemosphere.2022.137106","mine"
"182","10.1016/j.chemosphere.2022.137106"," heavy metals"
"183","10.1007/s00248-022-02132-3",NA
"184","10.3389/fpls.2022.1015947",NA
"185","10.3390/toxics10100574","heavy metal"
"186","10.3390/toxics10100574"," the intercropping"
"187","10.3390/toxics10100574"," agricultural"
"188","10.3390/toxics10100574"," intercropping the"
"189","10.3390/toxics10100574"," contaminated"
"190","10.3390/toxics10100565",NA
"191","10.1080/15592324.2022.2134676",NA
"192","10.1186/s12870-022-03790-8","crop"
"193","10.1186/s12870-022-03790-8"," ecological restoration"
"194","10.3389/fpls.2022.968719",NA
"195","10.1186/s12864-022-08797-x","biofuel this crop"
"196","10.1186/s12864-022-08797-x"," switchgrass"
"197","10.1186/s12864-022-08797-x"," crop"
"198","10.1186/s12864-022-08797-x"," biofuel feedstock"
"199","10.1186/s12864-022-08797-x"," an emerging biofuel feedstock"
"200","10.1016/j.envpol.2022.120309","heavy metal"
"201","10.3389/fmicb.2022.1006140",NA
"202","10.3390/plants11172276","restoration"
"203","10.3389/fpls.2022.965576",NA
"204","10.1007/s11356-022-22540-9","an emerging contaminant"
"205","10.3389/fpls.2022.845794","cannabis cultivation"
"206","10.3389/fpls.2022.947547","many crops"
"207","10.3389/fmicb.2022.827293","human land use disturbance"
"208","10.3389/fmicb.2022.827293"," agriculture"
"209","10.3389/fmicb.2022.827293"," tallgrass prairie restorations"
"210","10.3390/plants11141860","the mining"
"211","10.3390/plants11141860"," oil sands"
"212","10.1038/s41598-022-17075-5","contamination level"
"213","10.1038/s41598-022-17075-5"," soil contamination level"
"214","10.1038/s41598-022-17075-5"," slightly moderately highly polluted"
"215","10.1038/s41396-022-01293-w",NA
"216","10.1002/fes3.370","all cereal crops"
"217","10.1002/fes3.370"," crop"
"218","10.1002/fes3.370"," cereal crops"
"219","10.1002/fes3.370"," crops"
"220","10.3390/plants11131780","crop"
"221","10.3390/plants11131780"," crop this"
"222","10.3390/plants11131780"," different crops"
"223","10.3390/plants11131743","crop"
